time	V(n002)
2.701309565689650e-008	-1.639671e-003
2.701409565689650e-008	-2.167677e-003
2.701509565689651e-008	-2.697357e-003
2.701609565689651e-008	-3.225500e-003
2.701709565689651e-008	-3.729735e-003
2.701809565689651e-008	-4.186169e-003
2.701909565689651e-008	-4.606075e-003
2.702000000000000e-008	-4.976075e-003
2.702009043431035e-008	-4.975778e-003
2.702027130293105e-008	-4.974538e-003
2.702063304017244e-008	-4.966143e-003
2.702135651465524e-008	-4.918430e-003
2.702235651465524e-008	-4.781827e-003
2.702335651465524e-008	-4.560482e-003
2.702435651465524e-008	-4.262788e-003
2.702535651465524e-008	-3.909864e-003
2.702635651465524e-008	-3.519927e-003
2.702735651465525e-008	-3.106050e-003
2.702835651465525e-008	-2.676895e-003
2.702935651465525e-008	-2.238027e-003
2.703035651465525e-008	-1.792987e-003
2.703135651465525e-008	-1.344031e-003
2.703235651465525e-008	-8.925946e-004
2.703335651465525e-008	-4.395975e-004
2.703435651465525e-008	1.437186e-005
2.703535651465526e-008	4.689364e-004
2.703635651465526e-008	9.238547e-004
2.703735651465526e-008	1.378972e-003
2.703835651465526e-008	1.834189e-003
2.703935651465526e-008	2.289442e-003
2.704135651465526e-008	3.199907e-003
2.704307080036955e-008	3.980185e-003
2.704478508608384e-008	4.760245e-003
2.704649937179812e-008	5.540086e-003
2.704821365751241e-008	6.319708e-003
2.704992794322670e-008	7.099112e-003
2.705164222894099e-008	7.878297e-003
2.705335651465528e-008	8.657264e-003
2.712807080036965e-008	4.237975e-002
2.720278508608401e-008	7.567409e-002
2.727749937179839e-008	1.085403e-001
2.735221365751276e-008	1.409784e-001
2.742692794322713e-008	1.729883e-001
2.750164222894150e-008	2.045701e-001
2.757635651465587e-008	2.357237e-001
2.757735651465587e-008	2.361378e-001
2.768321365751313e-008	2.798341e-001
2.778907080037040e-008	3.223655e-001
2.789492794322766e-008	3.637319e-001
2.800078508608492e-008	4.039333e-001
2.810664222894218e-008	4.429697e-001
2.821249937179945e-008	4.808411e-001
2.831835651465671e-008	5.175475e-001
2.835864222894247e-008	5.309359e-001
2.839892794322823e-008	5.440486e-001
2.843921365751399e-008	5.568855e-001
2.847949937179975e-008	5.694467e-001
2.851978508608551e-008	5.817322e-001
2.856007080037127e-008	5.937420e-001
2.860035651465703e-008	6.054760e-001
2.860135651465703e-008	6.057633e-001
2.870178508608571e-008	6.336034e-001
2.880221365751440e-008	6.596842e-001
2.890264222894309e-008	6.840058e-001
2.900307080037177e-008	7.065680e-001
2.910349937180046e-008	7.273711e-001
2.920392794322914e-008	7.464148e-001
2.930435651465783e-008	7.636993e-001
2.935007080037217e-008	7.710949e-001
2.939578508608650e-008	7.782055e-001
2.944149937180084e-008	7.850310e-001
2.948721365751518e-008	7.915714e-001
2.953292794322952e-008	7.978267e-001
2.957864222894385e-008	8.037969e-001
2.962435651465819e-008	8.094821e-001
2.962535651465819e-008	8.096041e-001
2.973464222894403e-008	8.219558e-001
2.984392794322987e-008	8.332567e-001
2.995321365751571e-008	8.435069e-001
3.006249937180154e-008	8.527064e-001
3.017178508608738e-008	8.608551e-001
3.028107080037322e-008	8.679531e-001
3.039035651465906e-008	8.740004e-001
3.042721365751624e-008	8.759530e-001
3.046407080037343e-008	8.778341e-001
3.050092794323061e-008	8.796436e-001
3.053778508608780e-008	8.813816e-001
3.057464222894498e-008	8.830481e-001
3.061149937180217e-008	8.846430e-001
3.064835651465935e-008	8.861665e-001
3.064935651465935e-008	8.862071e-001
3.073764222894516e-008	8.895545e-001
3.082592794323098e-008	8.926439e-001
3.091421365751679e-008	8.954752e-001
3.100249937180261e-008	8.980486e-001
3.109078508608842e-008	9.003639e-001
3.117907080037424e-008	9.024212e-001
3.126735651466005e-008	9.042205e-001
3.132521365751726e-008	9.053292e-001
3.138307080037447e-008	9.063759e-001
3.144092794323167e-008	9.073606e-001
3.149878508608889e-008	9.082833e-001
3.155664222894609e-008	9.091440e-001
3.161449937180330e-008	9.099428e-001
3.167235651466051e-008	9.106795e-001
3.167335651466051e-008	9.106920e-001
3.176435651466061e-008	9.117440e-001
3.185535651466072e-008	9.127113e-001
3.194635651466082e-008	9.135941e-001
3.203735651466092e-008	9.143923e-001
3.212835651466103e-008	9.151059e-001
3.221935651466113e-008	9.157348e-001
3.231035651466123e-008	9.162792e-001
3.236549937180416e-008	9.165907e-001
3.242064222894707e-008	9.168853e-001
3.247578508608999e-008	9.171629e-001
3.253092794323291e-008	9.174236e-001
3.258607080037583e-008	9.176674e-001
3.264121365751875e-008	9.178942e-001
3.269635651466167e-008	9.181041e-001
3.269735651466167e-008	9.181078e-001
3.280907080037609e-008	9.184853e-001
3.292078508609050e-008	9.188275e-001
3.303249937180491e-008	9.191342e-001
3.314421365751932e-008	9.194055e-001
3.325592794323373e-008	9.196414e-001
3.336764222894815e-008	9.198419e-001
3.347935651466256e-008	9.200071e-001
3.372135651466283e-008	9.203171e-001
3.386749937180586e-008	9.204581e-001
3.401364222894888e-008	9.205832e-001
3.415978508609190e-008	9.206926e-001
3.430592794323492e-008	9.207861e-001
3.445207080037795e-008	9.208638e-001
3.459821365752097e-008	9.209256e-001
3.474435651466399e-008	9.209716e-001
3.474535651466399e-008	9.209720e-001
3.489149937180702e-008	9.210137e-001
3.503764222895004e-008	9.210508e-001
3.518378508609306e-008	9.210832e-001
3.532992794323608e-008	9.211108e-001
3.547607080037911e-008	9.211338e-001
3.562221365752213e-008	9.211521e-001
3.576835651466515e-008	9.211657e-001
3.576935651466516e-008	9.211658e-001
3.599900000000000e-008	9.211853e-001
3.600000000000000e-008	9.211854e-001
